dataset,target,model,n,n_pos,auc,ci_lo,ci_hi,ap,validation
RSNA,epidural,CNN,101823,351,0.9304986720825573,0.916043429079405,0.9449539150857097,0.0894733196065222,internal
RSNA,intraparenchymal,CNN,101823,4674,0.9596921584832879,0.9567506051411375,0.9626337118254383,0.7267781444898571,internal
RSNA,intraventricular,CNN,101823,3191,0.9773669721565379,0.9750134859799086,0.9797204583331672,0.7590553171455826,internal
RSNA,subarachnoid,CNN,101823,4218,0.9308192130885101,0.9270989616799408,0.9345394644970795,0.5172661043694544,internal
RSNA,subdural,CNN,101823,5924,0.9322710956332708,0.9289980498743492,0.9355441413921924,0.6097723719478589,internal
RSNA,macro average,CNN,101823,18358,0.9461296222888327,0.9433133041221231,0.9495300793469269,0.5404690515118551,internal
RSNA,weighted average,CNN,101823,18358,0.9467236955083457,0.9452861070369513,0.9486276588684021,0.6343082938875974,internal
RSNA,epidural,ViT,101823,351,0.910988525261428,0.8925346807675449,0.9294423697553111,0.1446104405441678,internal
RSNA,intraparenchymal,ViT,101823,4674,0.9566867690099773,0.9539248042981089,0.9594487337218457,0.6996170585016396,internal
RSNA,intraventricular,ViT,101823,3191,0.9710713891640905,0.9689106517754194,0.9732321265527617,0.6687740322611709,internal
RSNA,subarachnoid,ViT,101823,4218,0.9221036534824116,0.9181360774772482,0.926071229487575,0.48717412412679545,internal
RSNA,subdural,ViT,101823,5924,0.9266276658358894,0.9233837708938604,0.9298715607779184,0.5915050921220197,internal
RSNA,macro average,ViT,101823,18358,0.9374956005507593,0.934033001354588,0.9411874539474363,0.5183361495111587,internal
RSNA,weighted average,ViT,101823,18358,0.9406675692527852,0.9391362080236906,0.9424243132972256,0.5999456887629769,internal
RSNA,epidural,Hybrid,101823,351,0.9321324013652931,0.9163015763938434,0.9479632263367428,0.14687953498550885,internal
RSNA,intraparenchymal,Hybrid,101823,4674,0.9673340389797684,0.964988691407287,0.9696793865522498,0.7501443456622924,internal
RSNA,intraventricular,Hybrid,101823,3191,0.9802010129089288,0.9784310120599082,0.9819710137579494,0.756042029056211,internal
RSNA,subarachnoid,Hybrid,101823,4218,0.9389367334382015,0.9355431115199553,0.9423303553564477,0.5592578809617874,internal
RSNA,subdural,Hybrid,101823,5924,0.9416780356195561,0.9388105714495082,0.944545499789604,0.6431287741902693,internal
RSNA,macro average,Hybrid,101823,18358,0.9520564444623496,0.9491626174618909,0.9555304971196326,0.5710905129712138,internal
RSNA,weighted average,Hybrid,101823,18358,0.9540938570604443,0.9527173750993284,0.9555349588590115,0.6612432783159284,internal
RSNA,epidural,U-Net,101823,351,0.917243755957884,0.9020917336421405,0.9323957782736275,0.10369352339899701,internal
RSNA,intraparenchymal,U-Net,101823,4674,0.9144808586951779,0.9108490575596829,0.9181126598306729,0.3875158669311182,internal
RSNA,intraventricular,U-Net,101823,3191,0.9541220480313591,0.9513285099514808,0.9569155861112375,0.48114860522527664,internal
RSNA,subarachnoid,U-Net,101823,4218,0.8866746305160806,0.8817717301978233,0.891577530834338,0.33637109346578165,internal
RSNA,subdural,U-Net,101823,5924,0.8545093633248614,0.850110342568661,0.8589083840810617,0.28838632523575447,internal
RSNA,macro average,U-Net,101823,18358,0.9054061313050725,0.9020835337874936,0.9087195854387731,0.3194230828513856,internal
RSNA,weighted average,U-Net,101823,18358,0.8956828961217916,0.8935459534651455,0.8979223362534136,0.3546249401328156,internal
PhysioNet,any ICH,CNN,542,40,0.8097609561752989,0.7599571462119691,0.8595647661386286,0.21933602880724964,zero-shot transfer
PhysioNet,any ICH,ViT,542,40,0.8046812749003984,0.75905736139013,0.8503051884106668,0.17254525721406372,zero-shot transfer
PhysioNet,any ICH,Hybrid,542,40,0.8014940239043825,0.7593407815310034,0.8436472662777617,0.17707908867620872,zero-shot transfer
PhysioNet,any ICH,U-Net,542,40,0.8617778884462152,0.791757736402287,0.9317980404901434,0.48582581333366937,in-domain
CQ500,any ICH,CNN,2594,799,0.7233958883144321,0.7008247904790078,0.7459669861498565,0.6289897275995437,zero-shot transfer
CQ500,any ICH,ViT,2594,799,0.7746026544322465,0.7569112096610727,0.7922940992034203,0.5313741975518347,zero-shot transfer
CQ500,any ICH,Hybrid,2594,799,0.7905920004462403,0.7731314155557875,0.8080525853366932,0.6340821132681576,zero-shot transfer
CQ500,any ICH,U-Net,2594,799,0.8466882349454925,0.8286280086836945,0.8647484612072905,0.7848933520221696,in-domain
