dataset,method,dice_mean,dice_std,iou_mean,iou_std,recall_mean,recall_std,precision_mean,precision_std,pointing_game,ap_mean,ap_std,n_slices
PhysioNet,CNN,0.017282584682106972,0.03347432240843773,0.009197208099067211,0.017744161188602448,0.07539628446102142,0.12161631882190704,0.01019945926964283,0.020439935848116875,0.0,0.014269882813096046,0.017782628536224365,40
PhysioNet,ViT,0.018675759434700012,0.024253955110907555,0.009641515091061592,0.01256472710520029,0.4040350019931793,0.4263828694820404,0.009607639163732529,0.01268680114299059,0.05000000074505806,0.021108735352754593,0.03858330845832825,40
PhysioNet,Hybrid,0.03071523644030094,0.04724423214793205,0.016412731260061264,0.025523044168949127,0.1332906037569046,0.1849629133939743,0.01823117770254612,0.029113776981830597,0.0,0.02022956870496273,0.026555048301815987,40
PhysioNet,U-Net,0.33150437474250793,0.30911985039711,0.24824433028697968,0.25215908885002136,0.2861641049385071,0.31480613350868225,0.5419929623603821,0.42153701186180115,0.699999988079071,0.44769424200057983,0.321693480014801,40
PhysioNet,Chance,0.008044528774917126,0.006252926774322987,0.004063592758029699,0.003172013210132718,0.5053375363349915,0.04350016638636589,0.00405952287837863,0.003219896461814642,0.0,0.0041910563595592976,0.003172144293785095,40
CQ500,CNN,0.017403805628418922,0.04396151378750801,0.009445609524846077,0.02458438090980053,0.04962076246738434,0.11432014405727386,0.01143407728523016,0.02987230010330677,0.012515644542872906,0.02682211995124817,0.03357739746570587,799
CQ500,ViT,0.058902908116579056,0.08189623057842255,0.032397687435150146,0.04718133807182312,0.4932056963443756,0.4224807918071747,0.03404365852475166,0.04951480031013489,0.1013767197728157,0.06638336926698685,0.11715584993362427,799
CQ500,Hybrid,0.0500585213303566,0.09496618062257767,0.02861792966723442,0.05785492807626724,0.18068529665470123,0.2928036153316498,0.03394238278269768,0.06775534898042679,0.030037546530365944,0.05061539262533188,0.08452099561691284,799
CQ500,U-Net,0.3641093969345093,0.3448443114757538,0.2881976068019867,0.29037511348724365,0.3475416600704193,0.35541433095932007,0.46855229139328003,0.42711928486824036,0.580725908279419,0.45251625776290894,0.3735237121582031,799
CQ500,Chance,0.01759273000061512,0.018055269494652748,0.008973981253802776,0.009285133332014084,0.49817895889282227,0.058887727558612823,0.009113943204283714,0.009557001292705536,0.017521902918815613,0.009282590821385384,0.009540212340652943,799
