unit,dataset,metric,method_a,method_b,hits_a,hits_b,a_only,b_only,p_raw,p_holm
slice,PhysioNet,pointing_game,CNN,ViT,0,2,0,2,0.5,1.0
slice,PhysioNet,pointing_game,CNN,Hybrid,0,0,0,0,1.0,1.0
slice,PhysioNet,pointing_game,CNN,U-Net,0,28,0,28,7.450580596923828e-09,7.450580596923828e-08
slice,PhysioNet,pointing_game,CNN,Chance,0,0,0,0,1.0,1.0
slice,PhysioNet,pointing_game,ViT,Hybrid,2,0,2,0,0.5,1.0
slice,PhysioNet,pointing_game,ViT,U-Net,2,28,0,26,2.9802322387695312e-08,2.086162567138672e-07
slice,PhysioNet,pointing_game,ViT,Chance,2,0,2,0,0.5,1.0
slice,PhysioNet,pointing_game,Hybrid,U-Net,0,28,0,28,7.450580596923828e-09,7.450580596923828e-08
slice,PhysioNet,pointing_game,Hybrid,Chance,0,0,0,0,1.0,1.0
slice,PhysioNet,pointing_game,U-Net,Chance,28,0,28,0,7.450580596923828e-09,7.450580596923828e-08
slice,CQ500,pointing_game,CNN,ViT,10,81,10,81,5.900498071536332e-15,3.540298842921799e-14
slice,CQ500,pointing_game,CNN,Hybrid,10,24,8,22,0.016124801710247997,0.048374405130743994
slice,CQ500,pointing_game,CNN,U-Net,10,464,2,456,2.8245175736743673e-133,2.8245175736743673e-132
slice,CQ500,pointing_game,CNN,Chance,10,14,10,14,0.5412561893463135,0.5412561893463135
slice,CQ500,pointing_game,ViT,Hybrid,81,24,71,14,2.427174154689865e-10,9.70869661875946e-10
slice,CQ500,pointing_game,ViT,U-Net,81,464,23,406,1.1419737918938394e-91,7.993816543256876e-91
slice,CQ500,pointing_game,ViT,Chance,81,14,79,12,2.989903040017255e-13,1.4949515200086277e-12
slice,CQ500,pointing_game,Hybrid,U-Net,24,464,5,445,1.0462007033498892e-124,9.415806330149003e-124
slice,CQ500,pointing_game,Hybrid,Chance,24,14,24,14,0.14330665429588407,0.28661330859176815
slice,CQ500,pointing_game,U-Net,Chance,464,14,459,9,7.351773704940078e-123,5.881418963952062e-122
