unit,dataset,metric,method_a,method_b,n,mean_a,mean_b,median_diff,W,p_raw,effect_rank_biserial,p_holm
slice,PhysioNet,dice,CNN,ViT,40,0.017282583153792073,0.018675757569917552,6.288119038799778e-05,388.0,0.7749952346202917,-0.05365853658536585,1.0
slice,PhysioNet,dice,CNN,Hybrid,40,0.017282583153792073,0.030715236697142247,-0.00011381738295312971,266.0,0.05308265297571779,-0.35121951219512193,0.2705891084005998
slice,PhysioNet,dice,CNN,U-Net,40,0.017282583153792073,0.3315043666807469,-0.23772032442502677,38.0,1.2008968042209744e-08,-0.9073170731707317,1.080807123798877e-07
slice,PhysioNet,dice,CNN,Chance,40,0.017282583153792073,0.008044529022299685,-0.002082733204588294,388.0,0.7749952346202917,-0.05365853658536585,1.0
slice,PhysioNet,dice,ViT,Hybrid,40,0.018675757569917552,0.030715236697142247,-0.00021011102217016742,273.0,0.06616061626664305,-0.33414634146341465,0.2705891084005998
slice,PhysioNet,dice,ViT,U-Net,40,0.018675757569917552,0.3315043666807469,-0.22675541890203021,49.0,5.06388460053131e-08,-0.8804878048780488,4.051107680425048e-07
slice,PhysioNet,dice,ViT,Chance,40,0.018675757569917552,0.008044529022299685,0.00086937565356493,261.0,0.0450981847334333,0.36341463414634145,0.2705891084005998
slice,PhysioNet,dice,Hybrid,U-Net,40,0.030715236697142247,0.3315043666807469,-0.23702707240590826,56.0,1.1634983820840716e-07,-0.8634146341463415,8.144488674588501e-07
slice,PhysioNet,dice,Hybrid,Chance,40,0.030715236697142247,0.008044529022299685,-0.0008521502968505956,279.0,0.07932943338346377,0.3195121951219512,0.2705891084005998
slice,PhysioNet,dice,U-Net,Chance,40,0.3315043666807469,0.008044529022299685,0.23227305337786674,25.0,1.6443664208054543e-09,0.9390243902439024,1.6443664208054543e-08
slice,PhysioNet,iou,CNN,ViT,40,0.009197208145269541,0.00964151483644855,7.827256104064872e-05,391.0,0.8057269839482615,-0.046341463414634146,1.0
slice,PhysioNet,iou,CNN,Hybrid,40,0.009197208145269541,0.01641273217755952,-0.0001133615878643468,263.0,0.048164484947847086,-0.35853658536585364,0.26175816744580516
slice,PhysioNet,iou,CNN,U-Net,40,0.009197208145269541,0.24824433531030082,-0.1359707890660502,27.0,2.293745637871325e-09,-0.9341463414634147,2.0643710740841925e-08
slice,PhysioNet,iou,CNN,Chance,40,0.009197208145269541,0.004063593133469112,-0.0007753114914521575,405.0,0.9523059934635967,-0.012195121951219513,1.0
slice,PhysioNet,iou,ViT,Hybrid,40,0.00964151483644855,0.01641273217755952,-0.00021011102217016742,266.0,0.05308265297571779,-0.35121951219512193,0.26175816744580516
slice,PhysioNet,iou,ViT,U-Net,40,0.00964151483644855,0.24824433531030082,-0.12935502207255922,43.0,2.3623215383850038e-08,-0.8951219512195122,1.6536250768695027e-07
slice,PhysioNet,iou,ViT,Chance,40,0.00964151483644855,0.004063593133469112,0.00045762211084365845,260.0,0.043626361240967526,0.36585365853658536,0.26175816744580516
slice,PhysioNet,iou,Hybrid,U-Net,40,0.01641273217755952,0.24824433531030082,-0.1356157725385856,41.0,1.8109858501702547e-08,-0.9,1.4487886801362038e-07
slice,PhysioNet,iou,Hybrid,Chance,40,0.01641273217755952,0.004063593133469112,-0.0003190189236192964,276.0,0.07250633211879176,0.32682926829268294,0.26175816744580516
slice,PhysioNet,iou,U-Net,Chance,40,0.24824433531030082,0.004063593133469112,0.13405591109767556,7.0,3.456079866737127e-11,0.9829268292682927,3.4560798667371273e-10
slice,PhysioNet,recall,CNN,ViT,40,0.07539629226084799,0.404035001907323,-0.15102440770715475,77.0,0.00047050871265491134,-0.7083333333333334,0.0023525435632745567
slice,PhysioNet,recall,CNN,Hybrid,40,0.07539629226084799,0.13329061309341342,0.0,125.0,0.045484489171984846,-0.42528735632183906,0.13645346751595455
slice,PhysioNet,recall,CNN,U-Net,40,0.07539629226084799,0.28616408272646365,-0.11590485274791718,82.0,0.00038999365261257655,-0.7076648841354723,0.0023399619156754593
slice,PhysioNet,recall,CNN,Chance,40,0.07539629226084799,0.505337518453598,-0.47457762621343136,0.0,5.255295360476943e-08,-1.0,4.729765824429249e-07
slice,PhysioNet,recall,ViT,Hybrid,40,0.404035001907323,0.13329061309341342,0.1078123152256012,27.0,9.940081857188176e-05,0.8571428571428571,0.0007952065485750541
slice,PhysioNet,recall,ViT,U-Net,40,0.404035001907323,0.28616408272646365,0.0,173.0,0.1416319469128493,0.3024193548387097,0.1416319469128493
slice,PhysioNet,recall,ViT,Chance,40,0.404035001907323,0.505337518453598,-0.222537599503994,270.5,0.06078142312496288,-0.3402439024390244,0.13645346751595455
slice,PhysioNet,recall,Hybrid,U-Net,40,0.13329061309341342,0.28616408272646365,-0.1097889095544815,91.0,0.0012167827309775363,-0.6553030303030303,0.004867130923910145
slice,PhysioNet,recall,Hybrid,Chance,40,0.13329061309341342,0.505337518453598,-0.42143985256552696,11.0,1.000444171950221e-10,-0.973170731707317,1.000444171950221e-09
slice,PhysioNet,recall,U-Net,Chance,40,0.28616408272646365,0.505337518453598,-0.3591417893767357,135.0,0.0001079662160918815,-0.6707317073170732,0.0007952065485750541
slice,PhysioNet,precision,CNN,ViT,40,0.01019945938460296,0.009607639148453018,0.0,245.0,0.7223799448180457,-0.07196969696969698,1.0
slice,PhysioNet,precision,CNN,Hybrid,40,0.01019945938460296,0.01823117692692904,0.0,129.0,0.055664469392160826,-0.4068965517241379,0.27832234696080416
slice,PhysioNet,precision,CNN,U-Net,40,0.01019945938460296,0.541992937028408,-0.671862652990967,28.0,6.422312625112749e-06,-0.9001782531194296,5.1378501000901994e-05
slice,PhysioNet,precision,CNN,Chance,40,0.01019945938460296,0.0040595231082988905,-0.0013280407874844968,398.0,0.8785070700851065,-0.02926829268292683,1.0
slice,PhysioNet,precision,ViT,Hybrid,40,0.009607639148453018,0.01823117692692904,0.0,114.0,0.07156508609119941,-0.3968253968253968,0.28626034436479764
slice,PhysioNet,precision,ViT,U-Net,40,0.009607639148453018,0.541992937028408,-0.6642335313372314,15.0,4.968709301191073e-06,-0.9395161290322581,4.968709301191073e-05
slice,PhysioNet,precision,ViT,Chance,40,0.009607639148453018,0.0040595231082988905,0.0004708722117356956,261.0,0.0450981847334333,0.36341463414634145,0.2705891084005998
slice,PhysioNet,precision,Hybrid,U-Net,40,0.01823117692692904,0.541992937028408,-0.6532116355374455,21.0,5.521194140297318e-06,-0.9204545454545454,4.9690747262675864e-05
slice,PhysioNet,precision,Hybrid,Chance,40,0.01823117692692904,0.0040595231082988905,-0.0005350420833565295,280.0,0.08171383123044507,0.3170731707317073,0.28626034436479764
slice,PhysioNet,precision,U-Net,Chance,40,0.541992937028408,0.0040595231082988905,0.6809870572760701,105.0,1.221069942403119e-05,0.7439024390243902,8.547489596821833e-05
slice,PhysioNet,ap,CNN,ViT,40,0.01426988164166687,0.021108734562585597,0.0008382138039451092,370.0,0.599208943085614,0.0975609756097561,0.6047801846852963
slice,PhysioNet,ap,CNN,Hybrid,40,0.01426988164166687,0.02022956976434216,3.149139229208231e-05,316.0,0.21131373006210197,-0.22926829268292684,0.6047801846852963
slice,PhysioNet,ap,CNN,U-Net,40,0.01426988164166687,0.4476942568726372,-0.4423170229420066,8.0,4.547473508864641e-11,-0.9804878048780488,3.637978807091713e-10
slice,PhysioNet,ap,CNN,Chance,40,0.01426988164166687,0.004191056182025932,0.0037390177603811026,6.0,2.546585164964199e-11,0.9853658536585366,2.2919266484677792e-10
slice,PhysioNet,ap,ViT,Hybrid,40,0.021108734562585597,0.02022956976434216,-0.0002784229291137308,314.0,0.20159339489509875,-0.23414634146341465,0.6047801846852963
slice,PhysioNet,ap,ViT,U-Net,40,0.021108734562585597,0.4476942568726372,-0.45609435776714236,8.0,4.547473508864641e-11,-0.9804878048780488,3.637978807091713e-10
